Tarih,doluluk_orani,GENERAL_DAM_RESERVED_WATER
29/06/2012,81.26,706
30/06/2012,80.96,703
01/07/2012,80.54,700
02/07/2012,80.16,696
03/07/2012,79.78,693
04/07/2012,79.44,690
05/07/2012,79.09,687
06/07/2012,78.81,685
07/07/2012,78.44,681
08/07/2012,78.2,679
09/07/2012,77.8,676
10/07/2012,77.48,673
11/07/2012,77.16,670
12/07/2012,76.81,667
13/07/2012,76.49,664
14/07/2012,76.14,661
15/07/2012,75.79,658
16/07/2012,75.42,655
17/07/2012,75.05,652
18/07/2012,74.78,650
19/07/2012,74.32,646
20/07/2012,73.91,642
21/07/2012,73.57,639
22/07/2012,73.25,636
23/07/2012,72.88,633
24/07/2012,72.56,630
25/07/2012,72.17,627
26/07/2012,71.83,624
27/07/2012,71.56,622
28/07/2012,71.22,619
29/07/2012,70.88,616
30/07/2012,70.51,613
31/07/2012,70.2,610
01/08/2012,69.86,607
02/08/2012,69.61,605
03/08/2012,69.16,601
04/08/2012,68.8,598
05/08/2012,68.5,595
06/08/2012,68.19,592
07/08/2012,67.83,589
08/08/2012,67.52,587
09/08/2012,67.18,584
10/08/2012,66.77,580
11/08/2012,66.37,577
12/08/2012,66.01,573
13/08/2012,66.03,574
14/08/2012,65.77,571
15/08/2012,65.46,569
16/08/2012,65.13,566
17/08/2012,64.82,563
18/08/2012,64.43,560
19/08/2012,64.13,557
20/08/2012,63.85,555
21/08/2012,63.59,552
22/08/2012,63.3,550
23/08/2012,62.96,547
24/08/2012,62.69,545
25/08/2012,62.37,542
26/08/2012,62.06,539
27/08/2012,61.72,536
28/08/2012,61.63,535
29/08/2012,61.38,533
30/08/2012,61.1,531
31/08/2012,60.77,528
01/09/2012,60.53,526
02/09/2012,60.26,523
03/09/2012,59.93,521
04/09/2012,59.64,518
05/09/2012,59.36,516
06/09/2012,59.07,513
07/09/2012,58.83,511
08/09/2012,58.5,508
09/09/2012,57.96,503
10/09/2012,57.86,503
11/09/2012,57.51,500
12/09/2012,57.21,497
13/09/2012,56.9,494
14/09/2012,56.63,492
15/09/2012,56.33,489
16/09/2012,56.1,487
17/09/2012,55.87,485
18/09/2012,55.52,482
19/09/2012,55.43,482
20/09/2012,55.19,479
21/09/2012,54.93,477
22/09/2012,54.72,475
23/09/2012,54.49,473
24/09/2012,54.14,470
25/09/2012,53.87,468
26/09/2012,53.52,465
27/09/2012,53.29,463
28/09/2012,53.02,461
29/09/2012,52.71,458
30/09/2012,52.39,455
01/10/2012,52.1,453
02/10/2012,51.82,450
03/10/2012,51.55,448
04/10/2012,51.25,445
05/10/2012,50.95,443
06/10/2012,50.73,441
07/10/2012,50.44,438
08/10/2012,50.08,435
09/10/2012,49.84,433
10/10/2012,49.56,430
11/10/2012,49.28,428
12/10/2012,48.98,425
13/10/2012,48.69,423
14/10/2012,48.39,420
15/10/2012,48.15,418
16/10/2012,47.8,415
17/10/2012,47.52,413
18/10/2012,47.31,411
19/10/2012,46.97,408
20/10/2012,46.66,405
21/10/2012,46.52,404
22/10/2012,46.53,404
23/10/2012,46.37,403
24/10/2012,48.54,422
25/10/2012,49.52,430
26/10/2012,49.5,430
27/10/2012,49.46,430
28/10/2012,49.16,427
29/10/2012,48.86,424
30/10/2012,48.94,425
31/10/2012,49.15,427
01/11/2012,49.04,426
02/11/2012,48.82,424
03/11/2012,48.48,421
04/11/2012,48.54,422
05/11/2012,48.28,419
06/11/2012,47.99,417
07/11/2012,47.97,417
08/11/2012,48.03,417
09/11/2012,47.96,417
10/11/2012,47.83,416
11/11/2012,47.85,416
12/11/2012,47.81,415
13/11/2012,47.67,414
14/11/2012,47.5,413
15/11/2012,47.29,411
16/11/2012,47.12,409
17/11/2012,47.1,409
18/11/2012,46.84,407
19/11/2012,46.67,405
20/11/2012,46.43,403
21/11/2012,46.28,402
22/11/2012,46.15,401
23/11/2012,46.08,400
24/11/2012,46.03,400
25/11/2012,45.88,399
26/11/2012,45.88,399
27/11/2012,45.66,397
28/11/2012,45.54,396
29/11/2012,45.45,395
30/11/2012,45.2,393
01/12/2012,45.41,394
02/12/2012,48.41,420
03/12/2012,49.58,431
04/12/2012,50.88,442
05/12/2012,51.51,447
06/12/2012,52.04,452
07/12/2012,52.8,459
08/12/2012,53.89,468
09/12/2012,54.19,471
10/12/2012,54.61,474
11/12/2012,55.64,483
12/12/2012,56.32,489
13/12/2012,56.41,490
14/12/2012,56.59,492
15/12/2012,56.61,492
16/12/2012,56.67,492
17/12/2012,56.86,494
18/12/2012,57.42,499
19/12/2012,58.78,511
20/12/2012,59.27,515
21/12/2012,59.55,517
22/12/2012,60.11,522
23/12/2012,60.3,524
24/12/2012,61.14,531
25/12/2012,61.67,536
26/12/2012,62.1,539
27/12/2012,62.4,542
28/12/2012,62.42,542
29/12/2012,62.65,544
30/12/2012,63.01,547
31/12/2012,63.36,550
01/01/2013,63.55,552
02/01/2013,63.76,554
03/01/2013,64.05,556
04/01/2013,64.23,558
05/01/2013,64.27,558
06/01/2013,64.28,558
07/01/2013,64.31,559
08/01/2013,64.5,560
09/01/2013,64.64,562
10/01/2013,64.58,561
11/01/2013,64.67,562
12/01/2013,65.99,573
13/01/2013,67.9,590
14/01/2013,68.67,597
15/01/2013,69.06,600
16/01/2013,69.28,602
17/01/2013,69.61,605
18/01/2013,69.93,608
19/01/2013,70.12,609
20/01/2013,70.79,615
21/01/2013,71.15,618
22/01/2013,71.33,620
23/01/2013,71.72,623
24/01/2013,71.85,624
25/01/2013,71.89,624
26/01/2013,72.33,628
27/01/2013,74.17,644
28/01/2013,75.18,653
29/01/2013,75.77,658
30/01/2013,76.36,663
31/01/2013,76.53,665
01/02/2013,77.21,671
02/02/2013,77.71,675
03/02/2013,78.04,678
04/02/2013,78.39,681
05/02/2013,78.66,683
06/02/2013,78.49,682
07/02/2013,78.84,685
08/02/2013,78.9,685
09/02/2013,79.15,688
10/02/2013,79.4,690
11/02/2013,80.11,696
12/02/2013,80.41,699
13/02/2013,80.78,702
14/02/2013,81.08,704
15/02/2013,81.34,707
16/02/2013,81.86,711
17/02/2013,82.06,713
18/02/2013,82.29,715
19/02/2013,82.35,715
20/02/2013,82.66,718
21/02/2013,82.84,720
22/02/2013,83.07,722
23/02/2013,83.3,724
24/02/2013,83.81,728
25/02/2013,83.93,729
26/02/2013,84.09,730
27/02/2013,84.25,732
28/02/2013,84.37,733
01/03/2013,84.62,735
02/03/2013,84.82,737
03/03/2013,84.96,738
04/03/2013,85,738
05/03/2013,85.07,739
06/03/2013,85.04,739
07/03/2013,85.04,739
08/03/2013,85.04,739
09/03/2013,85,738
10/03/2013,85.01,738
11/03/2013,84.93,738
12/03/2013,84.96,738
13/03/2013,84.92,738
14/03/2013,84.86,737
15/03/2013,84.84,737
16/03/2013,85.3,741
17/03/2013,86.39,750
18/03/2013,86.8,754
19/03/2013,86.98,756
20/03/2013,87.16,757
21/03/2013,87.49,760
22/03/2013,87.55,761
23/03/2013,87.97,764
24/03/2013,88.17,766
25/03/2013,88.3,767
26/03/2013,88.32,767
27/03/2013,88.71,771
28/03/2013,89.56,778
29/03/2013,90.2,784
30/03/2013,90.41,785
31/03/2013,90.87,789
01/04/2013,90.95,790
02/04/2013,90.92,790
03/04/2013,90.94,790
04/04/2013,91.05,791
05/04/2013,91.07,791
06/04/2013,91.1,791
07/04/2013,91.1,791
08/04/2013,91.31,793
09/04/2013,91.53,795
10/04/2013,91.53,795
11/04/2013,91.58,796
12/04/2013,91.72,797
13/04/2013,91.57,795
14/04/2013,91.6,796
15/04/2013,91.56,795
16/04/2013,91.78,797
17/04/2013,91.78,797
18/04/2013,91.75,797
19/04/2013,91.67,796
20/04/2013,91.69,797
21/04/2013,91.82,798
22/04/2013,91.89,798
23/04/2013,91.78,797
24/04/2013,91.83,798
25/04/2013,91.71,797
26/04/2013,91.73,797
27/04/2013,91.68,796
28/04/2013,91.61,796
29/04/2013,91.49,795
30/04/2013,91.38,794
01/05/2013,91.24,793
02/05/2013,91.11,791
03/05/2013,90.84,789
04/05/2013,90.77,789
05/05/2013,90.54,786
06/05/2013,90.36,785
07/05/2013,90.19,783
08/05/2013,90.13,783
09/05/2013,89.84,780
10/05/2013,89.76,780
11/05/2013,89.59,778
12/05/2013,89.49,777
13/05/2013,89.32,776
14/05/2013,89.19,775
15/05/2013,89.24,775
16/05/2013,89.16,774
17/05/2013,88.99,773
18/05/2013,88.83,772
19/05/2013,88.67,770
20/05/2013,88.5,769
21/05/2013,88.27,767
22/05/2013,88.03,765
23/05/2013,87.85,763
24/05/2013,87.62,761
25/05/2013,87.22,758
26/05/2013,86.97,755
27/05/2013,86.76,754
28/05/2013,86.5,751
29/05/2013,86.31,750
30/05/2013,86.05,747
31/05/2013,85.76,745
01/06/2013,85.5,743
02/06/2013,85.2,740
03/06/2013,84.96,738
04/06/2013,84.82,737
05/06/2013,84.59,735
06/06/2013,84.32,732
07/06/2013,84.11,731
08/06/2013,83.99,730
09/06/2013,83.7,727
10/06/2013,83.41,725
11/06/2013,83.08,722
12/06/2013,82.84,720
13/06/2013,82.78,719
14/06/2013,82.59,717
15/06/2013,83.48,725
16/06/2013,83.62,726
17/06/2013,83.74,727
18/06/2013,83.48,725
19/06/2013,83.19,723
20/06/2013,82.8,719
21/06/2013,82.64,718
22/06/2013,82.37,716
23/06/2013,82.06,713
24/06/2013,81.81,711
25/06/2013,81.56,709
26/06/2013,81.17,705
27/06/2013,80.82,702
28/06/2013,80.57,700
29/06/2013,80.15,696
30/06/2013,79.81,693
01/07/2013,79.66,692
02/07/2013,79.27,689
03/07/2013,78.92,686
04/07/2013,78.72,684
05/07/2013,78.39,681
06/07/2013,78.07,678
07/07/2013,77.77,676
08/07/2013,77.41,672
09/07/2013,77,669
10/07/2013,76.63,666
11/07/2013,76.33,663
12/07/2013,76.04,661
13/07/2013,75.6,657
14/07/2013,75.32,654
15/07/2013,74.87,650
16/07/2013,74.63,648
17/07/2013,74.22,645
18/07/2013,73.86,642
19/07/2013,73.53,639
20/07/2013,73.26,636
21/07/2013,72.91,633
22/07/2013,72.64,631
23/07/2013,72.16,627
24/07/2013,71.84,624
25/07/2013,71.63,622
26/07/2013,71.28,619
27/07/2013,70.91,616
28/07/2013,70.69,614
29/07/2013,70.29,611
30/07/2013,70.05,609
31/07/2013,69.75,606
01/08/2013,69.52,604
02/08/2013,69.15,601
03/08/2013,68.9,599
04/08/2013,68.61,596
05/08/2013,68.21,593
06/08/2013,67.86,590
07/08/2013,67.44,586
08/08/2013,67.1,583
09/08/2013,66.86,581
10/08/2013,66.56,578
11/08/2013,66.19,575
12/08/2013,65.89,572
13/08/2013,65.48,569
14/08/2013,64.97,564
15/08/2013,64.77,563
16/08/2013,64.39,559
17/08/2013,64.07,557
18/08/2013,63.56,552
19/08/2013,63.2,549
20/08/2013,63,547
21/08/2013,62.61,544
22/08/2013,62.23,541
23/08/2013,61.9,538
24/08/2013,61.56,535
25/08/2013,61.21,532
26/08/2013,60.83,528
27/08/2013,60.47,525
28/08/2013,60.16,523
29/08/2013,59.87,520
30/08/2013,59.61,518
31/08/2013,59.11,513
01/09/2013,58.68,510
02/09/2013,58.32,507
03/09/2013,57.99,504
04/09/2013,57.85,503
05/09/2013,57.49,499
06/09/2013,57.11,496
07/09/2013,56.86,494
08/09/2013,56.55,491
09/09/2013,56.29,489
10/09/2013,55.9,486
11/09/2013,55.62,483
12/09/2013,55.38,481
13/09/2013,55.13,479
14/09/2013,54.94,477
15/09/2013,54.62,474
16/09/2013,54.26,471
17/09/2013,53.99,469
18/09/2013,53.67,466
19/09/2013,53.36,463
20/09/2013,53.16,462
21/09/2013,52.82,459
22/09/2013,52.52,456
23/09/2013,52.24,454
24/09/2013,51.92,451
25/09/2013,51.62,448
26/09/2013,51.4,446
27/09/2013,51.07,444
28/09/2013,50.72,441
29/09/2013,50.52,439
30/09/2013,50.13,435
01/10/2013,49.8,433
02/10/2013,49.68,432
03/10/2013,49.63,431
04/10/2013,49.48,430
05/10/2013,49.25,428
06/10/2013,48.93,425
07/10/2013,48.61,422
08/10/2013,48.36,420
09/10/2013,48.11,418
10/10/2013,47.95,417
11/10/2013,47.7,414
12/10/2013,47.38,412
13/10/2013,47.22,410
14/10/2013,46.94,408
15/10/2013,46.51,404
16/10/2013,46.16,401
17/10/2013,45.93,399
18/10/2013,46.59,405
19/10/2013,46.69,406
20/10/2013,46.47,404
21/10/2013,46.29,402
22/10/2013,46.02,400
23/10/2013,45.8,398
24/10/2013,45.58,396
25/10/2013,45.29,393
26/10/2013,45.09,392
27/10/2013,44.79,389
28/10/2013,44.49,387
29/10/2013,44.31,385
30/10/2013,44.14,383
31/10/2013,43.96,382
01/11/2013,43.82,381
02/11/2013,43.61,379
03/11/2013,43.49,378
04/11/2013,43.3,376
05/11/2013,43.07,374
06/11/2013,42.88,372
07/11/2013,42.76,371
08/11/2013,42.6,370
09/11/2013,42.37,368
10/11/2013,42.27,367
11/11/2013,42.01,365
12/11/2013,41.79,363
13/11/2013,41.53,361
14/11/2013,41.41,360
15/11/2013,41.12,357
16/11/2013,40.96,356
17/11/2013,40.65,353
18/11/2013,40.39,351
19/11/2013,40.23,349
20/11/2013,39.96,347
21/11/2013,39.81,346
22/11/2013,39.67,345
23/11/2013,39.52,343
24/11/2013,39.4,342
25/11/2013,39.12,340
26/11/2013,39.16,340
27/11/2013,39.13,340
28/11/2013,40.15,349
29/11/2013,40.17,349
30/11/2013,40.02,348
01/12/2013,39.85,346
02/12/2013,39.81,346
03/12/2013,39.74,345
04/12/2013,39.55,344
05/12/2013,39.37,342
06/12/2013,39.17,340
07/12/2013,39.15,340
08/12/2013,38.96,338
09/12/2013,38.78,337
10/12/2013,38.63,336
11/12/2013,38.71,336
12/12/2013,38.62,336
13/12/2013,38.55,335
14/12/2013,38.54,335
15/12/2013,38.49,334
16/12/2013,38.39,333
17/12/2013,38.41,334
18/12/2013,38.38,333
19/12/2013,38.41,334
20/12/2013,38.26,332
21/12/2013,38.08,331
22/12/2013,38.01,330
23/12/2013,37.78,328
24/12/2013,37.55,326
25/12/2013,37.4,325
26/12/2013,37.21,323
27/12/2013,37.07,322
28/12/2013,36.94,321
29/12/2013,36.72,319
30/12/2013,36.56,318
31/12/2013,36.41,316
01/01/2014,36.25,315
02/01/2014,36.06,313
03/01/2014,35.89,312
04/01/2014,35.81,311
05/01/2014,35.53,309
06/01/2014,35.44,308
07/01/2014,35.23,306
08/01/2014,35.04,304
09/01/2014,34.89,303
10/01/2014,34.72,302
11/01/2014,34.64,301
12/01/2014,34.53,300
13/01/2014,34.29,298
14/01/2014,34.11,296
15/01/2014,33.93,295
16/01/2014,33.73,293
17/01/2014,33.77,293
18/01/2014,33.53,291
19/01/2014,33.39,290
20/01/2014,33.19,288
21/01/2014,33.05,287
22/01/2014,32.97,286
23/01/2014,32.91,286
24/01/2014,32.77,285
25/01/2014,32.66,284
26/01/2014,32.67,284
27/01/2014,32.66,284
28/01/2014,32.55,283
29/01/2014,32.48,282
30/01/2014,33.22,289
31/01/2014,33.29,289
01/02/2014,33.12,288
02/02/2014,33.03,287
03/02/2014,32.89,286
04/02/2014,32.76,285
05/02/2014,32.56,283
06/02/2014,32.36,281
07/02/2014,32.21,280
08/02/2014,32.05,278
09/02/2014,31.81,276
10/02/2014,31.62,275
11/02/2014,31.49,274
12/02/2014,31.3,272
13/02/2014,31.13,270
14/02/2014,31.02,269
15/02/2014,31,269
16/02/2014,30.87,268
17/02/2014,30.72,267
18/02/2014,30.59,266
19/02/2014,30.43,264
20/02/2014,30.34,264
21/02/2014,30.16,262
22/02/2014,29.99,260
23/02/2014,29.84,259
24/02/2014,29.87,259
25/02/2014,29.89,260
26/02/2014,29.76,259
27/02/2014,29.67,258
28/02/2014,29.51,256
01/03/2014,29.43,256
02/03/2014,29.35,255
03/03/2014,29.21,254
04/03/2014,29.1,253
05/03/2014,29,252
06/03/2014,28.89,251
07/03/2014,28.83,250
08/03/2014,28.63,249
09/03/2014,28.82,250
10/03/2014,29.16,253
11/03/2014,32.59,283
12/03/2014,34.85,303
13/03/2014,35.4,308
14/03/2014,35.64,310
15/03/2014,35.69,310
16/03/2014,35.76,311
17/03/2014,35.82,311
18/03/2014,35.76,311
19/03/2014,35.66,310
20/03/2014,35.75,311
21/03/2014,35.78,311
22/03/2014,35.79,311
23/03/2014,35.68,310
24/03/2014,35.6,309
25/03/2014,35.46,308
26/03/2014,35.34,307
27/03/2014,35.27,306
28/03/2014,35.17,305
29/03/2014,35.16,305
30/03/2014,35.05,304
31/03/2014,34.94,304
01/04/2014,34.82,303
02/04/2014,34.6,301
03/04/2014,34.5,300
04/04/2014,34.5,300
05/04/2014,34.29,298
06/04/2014,34.11,296
07/04/2014,34.07,296
08/04/2014,33.83,294
09/04/2014,33.68,293
10/04/2014,33.48,291
11/04/2014,33.56,292
12/04/2014,33.39,290
13/04/2014,33.25,289
14/04/2014,33.13,288
15/04/2014,32.95,286
16/04/2014,32.75,284
17/04/2014,32.59,283
18/04/2014,32.49,282
19/04/2014,32.24,280
20/04/2014,32.01,278
21/04/2014,31.88,277
22/04/2014,31.75,276
23/04/2014,31.47,273
24/04/2014,31.37,273
25/04/2014,31.14,271
26/04/2014,30.91,268
27/04/2014,30.7,267
28/04/2014,30.66,266
29/04/2014,30.52,265
30/04/2014,30.22,263
01/05/2014,30.24,263
02/05/2014,30.09,261
03/05/2014,29.95,260
04/05/2014,29.78,259
05/05/2014,29.63,257
06/05/2014,29.56,257
07/05/2014,29.42,256
08/05/2014,29.24,254
09/05/2014,29.12,253
10/05/2014,29.71,258
11/05/2014,30.17,262
12/05/2014,30.26,263
13/05/2014,30.27,263
14/05/2014,30.17,262
15/05/2014,30.03,261
16/05/2014,29.9,260
17/05/2014,29.8,259
18/05/2014,29.58,257
19/05/2014,29.37,255
20/05/2014,29.23,254
21/05/2014,29.04,252
22/05/2014,28.86,251
23/05/2014,28.6,248
24/05/2014,28.36,246
25/05/2014,28.14,244
26/05/2014,28,243
27/05/2014,27.77,241
28/05/2014,27.52,239
29/05/2014,27.32,237
30/05/2014,27.08,235
31/05/2014,26.89,234
01/06/2014,26.76,232
02/06/2014,26.74,232
03/06/2014,26.62,231
04/06/2014,26.44,230
05/06/2014,26.44,230
06/06/2014,27.87,242
07/06/2014,28.16,245
08/06/2014,28.14,244
09/06/2014,28.15,245
10/06/2014,27.97,243
11/06/2014,27.8,242
12/06/2014,27.67,240
13/06/2014,27.36,238
14/06/2014,27.24,237
15/06/2014,26.98,234
16/06/2014,26.72,232
17/06/2014,26.69,232
18/06/2014,26.53,230
19/06/2014,26.36,229
20/06/2014,26.3,228
21/06/2014,26.09,227
22/06/2014,26.03,226
23/06/2014,25.8,224
24/06/2014,25.69,223
25/06/2014,25.38,220
26/06/2014,25.11,218
27/06/2014,24.71,215
28/06/2014,24.29,211
29/06/2014,24.13,210
30/06/2014,23.87,207
01/07/2014,23.71,206
02/07/2014,23.56,205
03/07/2014,23.28,202
04/07/2014,23.09,201
05/07/2014,22.97,200
06/07/2014,22.71,197
07/07/2014,22.53,196
08/07/2014,22.31,194
09/07/2014,22.18,193
10/07/2014,21.88,190
11/07/2014,21.68,188
12/07/2014,21.43,186
13/07/2014,21.34,185
14/07/2014,21.09,183
15/07/2014,20.92,182
16/07/2014,20.71,180
17/07/2014,20.55,179
18/07/2014,20.34,177
19/07/2014,20.19,175
20/07/2014,20.2,176
21/07/2014,20.08,174
22/07/2014,20.24,176
23/07/2014,20.04,174
24/07/2014,19.87,173
25/07/2014,19.74,171
26/07/2014,19.64,171
27/07/2014,19.47,169
28/07/2014,19.34,168
29/07/2014,19.22,167
30/07/2014,19.09,166
31/07/2014,18.94,165
01/08/2014,18.78,163
02/08/2014,18.59,161
03/08/2014,18.62,162
04/08/2014,18.76,163
05/08/2014,18.69,162
06/08/2014,18.48,161
07/08/2014,18.25,159
08/08/2014,18.56,161
09/08/2014,18.59,161
10/08/2014,18.61,162
11/08/2014,18.57,161
12/08/2014,18.5,161
13/08/2014,18.41,160
14/08/2014,18.17,158
15/08/2014,17.99,156
16/08/2014,17.73,154
17/08/2014,17.63,153
18/08/2014,17.6,153
19/08/2014,17.38,151
20/08/2014,17.24,150
21/08/2014,17.14,149
22/08/2014,16.98,147
23/08/2014,16.93,147
24/08/2014,16.73,145
25/08/2014,16.65,145
26/08/2014,16.41,143
27/08/2014,16.31,142
28/08/2014,16.16,140
29/08/2014,15.97,139
30/08/2014,15.81,137
31/08/2014,15.68,136
01/09/2014,15.51,135
02/09/2014,15.43,134
03/09/2014,15.3,133
04/09/2014,15.24,132
05/09/2014,15.15,132
06/09/2014,15.05,131
07/09/2014,15.38,134
08/09/2014,15.35,133
09/09/2014,15.39,134
10/09/2014,15.27,133
11/09/2014,15.11,131
12/09/2014,14.96,130
13/09/2014,14.87,129
14/09/2014,14.71,128
15/09/2014,14.58,127
16/09/2014,14.46,126
17/09/2014,14.48,126
18/09/2014,15.33,133
19/09/2014,17.37,151
20/09/2014,17.91,156
21/09/2014,17.98,156
22/09/2014,17.93,156
23/09/2014,17.86,155
24/09/2014,17.99,156
25/09/2014,18.01,156
26/09/2014,17.99,156
27/09/2014,18.17,158
28/09/2014,20.42,177
29/09/2014,22.1,192
30/09/2014,22.59,196
01/10/2014,22.72,197
02/10/2014,22.67,197
03/10/2014,22.52,196
04/10/2014,22.45,195
05/10/2014,22.34,194
06/10/2014,22.42,195
07/10/2014,22.28,194
08/10/2014,22.15,192
09/10/2014,22.07,192
10/10/2014,21.97,191
11/10/2014,21.93,190
12/10/2014,21.9,190
13/10/2014,21.83,190
14/10/2014,21.74,189
15/10/2014,21.7,189
16/10/2014,21.58,187
17/10/2014,21.53,187
18/10/2014,21.58,187
19/10/2014,21.51,187
20/10/2014,21.43,186
21/10/2014,21.39,186
22/10/2014,21.31,185
23/10/2014,21.17,184
24/10/2014,21.13,184
25/10/2014,21.87,190
26/10/2014,24.32,211
27/10/2014,27.36,238
28/10/2014,28.74,250
29/10/2014,29.61,257
30/10/2014,30.42,264
31/10/2014,32.51,282
01/11/2014,34.41,299
02/11/2014,35.17,306
03/11/2014,35.59,309
04/11/2014,35.93,312
05/11/2014,36.08,313
06/11/2014,36.42,316
07/11/2014,36.49,317
08/11/2014,36.44,317
09/11/2014,36.37,316
10/11/2014,36.4,316
11/11/2014,36.4,316
12/11/2014,36.42,316
13/11/2014,36.47,317
14/11/2014,36.57,318
15/11/2014,36.78,320
16/11/2014,36.91,321
17/11/2014,36.95,321
18/11/2014,36.98,321
19/11/2014,37.05,322
20/11/2014,37.41,325
21/11/2014,37.76,328
22/11/2014,38.12,331
23/11/2014,38.21,332
24/11/2014,38.49,334
25/11/2014,39.4,342
26/11/2014,41.25,358
27/11/2014,42.98,373
28/11/2014,43.65,379
29/11/2014,44.22,384
30/11/2014,44.52,387
01/12/2014,45.26,393
02/12/2014,45.97,399
03/12/2014,46.42,403
04/12/2014,46.83,407
05/12/2014,47.36,411
06/12/2014,47.67,414
07/12/2014,47.92,416
08/12/2014,48.37,420
09/12/2014,48.98,425
10/12/2014,49.37,429
11/12/2014,49.7,432
12/12/2014,50.1,435
13/12/2014,50.93,442
14/12/2014,51.41,447
15/12/2014,51.98,452
16/12/2014,52.29,454
17/12/2014,52.49,456
18/12/2014,52.94,460
19/12/2014,53.43,464
20/12/2014,53.73,467
21/12/2014,53.88,468
22/12/2014,54.46,473
23/12/2014,54.7,475
24/12/2014,54.89,477
25/12/2014,55.06,478
26/12/2014,55.3,480
27/12/2014,55.66,484
28/12/2014,56.63,492
29/12/2014,56.88,494
30/12/2014,59.58,518
31/12/2014,60.78,528
01/01/2015,66.71,580
02/01/2015,69.3,602
03/01/2015,70.02,608
04/01/2015,70.52,613
05/01/2015,72.04,626
06/01/2015,73.15,635
07/01/2015,74.03,643
08/01/2015,74.56,648
09/01/2015,74.75,649
10/01/2015,74.84,650
11/01/2015,75.04,652
12/01/2015,76.03,660
13/01/2015,81.26,706
14/01/2015,82.85,720
15/01/2015,83.45,725
16/01/2015,83.97,729
17/01/2015,84.29,732
18/01/2015,84.36,733
19/01/2015,84.5,734
20/01/2015,84.28,732
21/01/2015,84.57,735
22/01/2015,84.62,735
23/01/2015,84.62,735
24/01/2015,84.69,736
25/01/2015,84.71,736
26/01/2015,85.06,739
27/01/2015,85.13,739
28/01/2015,85.65,744
29/01/2015,86.24,749
30/01/2015,86.36,750
31/01/2015,86.24,749
01/02/2015,86.52,752
02/02/2015,86.67,753
03/02/2015,88.1,765
04/02/2015,89.73,779
05/02/2015,89.91,781
06/02/2015,89.85,780
07/02/2015,89.9,781
08/02/2015,90,782
09/02/2015,90.21,784
10/02/2015,90.43,786
11/02/2015,91.15,792
12/02/2015,91.64,796
13/02/2015,92.9,807
14/02/2015,93.68,814
15/02/2015,93.91,816
16/02/2015,94.33,819
17/02/2015,94.3,819
18/02/2015,94.14,818
19/02/2015,93.53,812
20/02/2015,93.39,811
21/02/2015,93.95,816
22/02/2015,95.12,826
23/02/2015,95.59,830
24/02/2015,96.28,836
25/02/2015,96.44,838
26/02/2015,96.19,836
27/02/2015,96.33,837
28/02/2015,96.33,837
01/03/2015,96.25,836
02/03/2015,95.9,833
03/03/2015,95.64,831
04/03/2015,95.66,831
05/03/2015,95.42,829
06/03/2015,95.35,828
07/03/2015,95.15,827
08/03/2015,94.95,825
09/03/2015,94.94,825
10/03/2015,94.88,824
11/03/2015,94.77,823
12/03/2015,94.71,823
13/03/2015,94.61,822
14/03/2015,94.5,821
15/03/2015,94.63,822
16/03/2015,95.08,826
17/03/2015,95.01,825
18/03/2015,94.91,824
19/03/2015,94.82,824
20/03/2015,94.76,823
21/03/2015,94.81,824
22/03/2015,95.01,825
23/03/2015,95.08,826
24/03/2015,95.09,826
25/03/2015,95.05,826
26/03/2015,94.99,825
27/03/2015,94.96,825
28/03/2015,95.01,825
29/03/2015,94.97,825
30/03/2015,94.9,824
31/03/2015,94.75,823
01/04/2015,94.71,823
02/04/2015,94.74,823
03/04/2015,94.76,823
04/04/2015,94.69,823
05/04/2015,94.71,823
06/04/2015,94.6,822
07/04/2015,95.5,830
08/04/2015,95.5,830
09/04/2015,95.48,829
10/04/2015,96.68,840
11/04/2015,97.2,844
12/04/2015,97.34,846
13/04/2015,97.36,846
14/04/2015,97.33,845
15/04/2015,97.32,845
16/04/2015,97.24,845
17/04/2015,97.19,844
18/04/2015,97.18,844
19/04/2015,96.91,842
20/04/2015,96.87,842
21/04/2015,96.8,841
22/04/2015,96.5,838
23/04/2015,96.36,837
24/04/2015,96.14,835
25/04/2015,96.01,834
26/04/2015,95.95,834
27/04/2015,95.76,832
28/04/2015,95.57,830
29/04/2015,95.51,830
30/04/2015,95.5,830
01/05/2015,95.38,829
02/05/2015,95.25,827
03/05/2015,95.23,827
04/05/2015,95.19,827
05/05/2015,95.13,826
06/05/2015,95.01,825
07/05/2015,94.85,824
08/05/2015,94.81,824
09/05/2015,95.09,826
10/05/2015,95.1,826
11/05/2015,94.91,825
12/05/2015,94.75,823
13/05/2015,94.65,822
14/05/2015,94.56,821
15/05/2015,94.37,820
16/05/2015,94.23,819
17/05/2015,94.14,818
18/05/2015,93.97,816
19/05/2015,93.88,815
20/05/2015,93.69,814
21/05/2015,93.5,812
22/05/2015,93.25,810
23/05/2015,93.08,809
24/05/2015,92.9,807
25/05/2015,92.7,805
26/05/2015,92.56,804
27/05/2015,92.44,803
28/05/2015,92.64,805
29/05/2015,92.52,804
30/05/2015,92.37,802
31/05/2015,92.26,801
01/06/2015,92.19,801
02/06/2015,91.93,799
03/06/2015,91.7,797
04/06/2015,91.39,794
05/06/2015,91.18,792
06/06/2015,90.91,790
07/06/2015,90.77,789
08/06/2015,90.5,786
